37,Bystraja District__Phonetic recordings__EIA__EIA-2011__EI_Amganov_peception_list_1.eaf,units,"1 слово + 1 раз ""бу ... говатту"""
38,Bystraja District__Phonetic recordings__EIA__EIA-2011__EI_Amganov_peception_list_2.eaf,units,"1 слово + 1 раз ""бу ... говатту"""
39,Bystraja District__Phonetic recordings__EIA__EIA-2011__EI_Amganov_peception_list_3.eaf,units,"1 слово + 1 раз ""бу ... говатту"""
40,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_001_078.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
41,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_079_100.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
42,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_101_128.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
43,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_129_168.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
44,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_169_233.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
45,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_235_309.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
46,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_310_343.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
47,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_343_383.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
48,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_401_407.eaf,units,нет разметки
49,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_additional_njumer2udaji.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
50,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_additional_to_the_End.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
51,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_additional1.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
52,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_additional2.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
53,Bystraja District__Phonetic recordings__RME__RME: audio and ELAN__RM_Egorova_additional3.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
54,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_001_084.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
55,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_084_106.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
56,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_107_113.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
57,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_113_156.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
58,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_157_227.eaf,units,"4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
59,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_228_283.eaf,units,"3-4 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
60,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_283_290.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
61,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_291.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
62,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_292_342.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
63,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_344_407_tiik.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
64,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_50words.eaf,units,3 повторяет слово
65,Bystraja District__Phonetic recordings__VAC__VA_Cherkanov_additional.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
66,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_001_006.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
67,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_007_084.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
68,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_087_108.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
69,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_109_227.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
70,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_228_244.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
71,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_245_255.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
72,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_255_263.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
73,Bystraja District__Phonetic recordings__VIA__VIA-2009__VI_Axmetova_262_322.eaf,units,"3 повторяет слово + 3 раза ""би говаттэм ... эрэгэр"""
